entry_time,exit_time,side,size,entry_price,exit_price,bars,gross_return,turnover_cost,funding_cost,net_return,loss_streak_id,consecutive_loss_count
2025-04-20 13:00:00+00:00,2025-04-23 09:00:00+00:00,short,0.8,84266.2,93850.1,68,-0.0909868962881916,0.0011200000000000001,-7.900000000000005e-05,-0.0920278962881916,1110.0,2.0
2023-03-13 12:00:00+00:00,2023-03-14 21:00:00+00:00,short,0.8,22123.0,24544.8,33,-0.08757582606337291,0.0011200000000000001,-0.000518824,-0.08817700206337291,757.0,1.0
2021-01-10 07:00:00+00:00,2021-01-12 01:00:00+00:00,long,0.5,41056.69,34317.15,42,-0.08207602707378508,0.0007,0.002648714,-0.08542474107378509,165.0,1.0
2024-03-24 01:00:00+00:00,2024-03-30 16:00:00+00:00,short,0.8,64512.0,70240.1,159,-0.07103298611111111,0.0011200000000000001,-0.004110824,-0.06804216211111111,903.0,2.0
2022-09-08 18:00:00+00:00,2022-09-09 09:00:00+00:00,short,0.8,19194.2,20742.3,15,-0.06452365818841095,0.0011200000000000001,-9.049600000000001e-05,-0.06555316218841095,668.0,3.0
2021-02-22 05:00:00+00:00,2021-02-23 23:00:00+00:00,long,0.5,55960.14,48930.0,42,-0.06281381712054329,0.0007,0.00118747,-0.0647012871205433,214.0,1.0
2021-04-21 11:00:00+00:00,2021-04-23 08:00:00+00:00,long,0.5,54556.02,48796.38,45,-0.05278647525974217,0.0007,0.00023809,-0.053724565259742174,266.0,1.0
2021-04-28 10:00:00+00:00,2021-05-01 00:00:00+00:00,short,0.8,54425.18,57820.6,62,-0.049909545544911366,0.0011200000000000001,-8.9672e-05,-0.05093987354491137,273.0,1.0
2024-09-11 12:00:00+00:00,2024-09-15 02:00:00+00:00,short,0.8,56712.0,60200.3,86,-0.049207222457328295,0.0011200000000000001,0.00016036,-0.050487582457328296,985.0,4.0
2020-11-25 23:00:00+00:00,2020-11-26 08:00:00+00:00,long,0.5,18741.67,16891.73,9,-0.04935365951913567,0.0007,0.00024272,-0.050296379519135674,131.0,2.0
2024-06-09 05:00:00+00:00,2024-06-18 09:00:00+00:00,long,0.8,69325.1,65455.4,220,-0.04465568747827273,0.0011200000000000001,4.118e-05,-0.04581686747827274,943.0,2.0
2024-09-08 14:00:00+00:00,2024-09-10 02:00:00+00:00,short,0.8,54110.0,56746.7,36,-0.038982812788763616,0.0011200000000000001,0.000238728,-0.04034154078876362,985.0,2.0
2020-04-06 01:00:00+00:00,2020-04-07 21:00:00+00:00,short,0.8,6837.6,7168.46,44,-0.038710658710658666,0.0011200000000000001,0.00017987200000000003,-0.040010530710658666,9.0,1.0
2024-01-03 04:00:00+00:00,2024-01-27 01:00:00+00:00,long,0.5,45218.8,41804.9,573,-0.03774867975266927,0.0007,0.000237343,-0.03868602275266927,853.0,2.0
2023-09-30 17:00:00+00:00,2023-10-02 08:00:00+00:00,short,0.8,27005.8,28264.4,39,-0.03728384273008025,0.0011200000000000001,-3.1776e-05,-0.038372066730080256,826.0,1.0
2020-09-06 17:00:00+00:00,2020-09-14 17:00:00+00:00,short,0.8,10208.3,10676.56,192,-0.03669641370257537,0.0011200000000000001,-6.944e-06,-0.03780946970257537,96.0,1.0
2021-12-04 01:00:00+00:00,2021-12-04 20:00:00+00:00,long,0.5,53005.17,49234.24,19,-0.035571341437071136,0.0007,7.3424e-05,-0.03634476543707114,466.0,1.0
2023-06-20 01:00:00+00:00,2023-06-20 18:00:00+00:00,short,0.8,26892.7,28058.2,17,-0.034671118928184974,0.0011200000000000001,2.4360000000000004e-05,-0.03581547892818498,799.0,1.0
2025-10-23 00:00:00+00:00,2025-10-29 03:00:00+00:00,short,0.8,107815.7,112459.6,147,-0.03445806130276026,0.0011200000000000001,-0.0005643919999999999,-0.035013669302760266,1158.0,1.0
2021-12-23 09:00:00+00:00,2021-12-25 23:00:00+00:00,short,0.8,48361.69,50403.64,62,-0.033777975914406615,0.0011200000000000001,-0.000112144,-0.034785831914406616,478.0,1.0
2021-01-24 22:00:00+00:00,2021-01-25 20:00:00+00:00,short,0.8,32131.79,33498.0,22,-0.03401516068665949,0.0011200000000000001,-0.000837336,-0.03429782468665949,180.0,1.0
2023-04-25 09:00:00+00:00,2023-04-26 20:00:00+00:00,short,0.8,27311.9,28405.3,35,-0.03202706512545799,0.0011200000000000001,-0.00019658400000000003,-0.032950481125457995,785.0,3.0
2021-12-21 00:00:00+00:00,2021-12-22 13:00:00+00:00,short,0.8,46788.72,48558.33,37,-0.030257036311316023,0.0011200000000000001,-8e-05,-0.03129703631131603,477.0,2.0
2023-12-09 16:00:00+00:00,2023-12-12 04:00:00+00:00,long,0.5,44052.1,41411.8,60,-0.029967924344128816,0.0007,0.0005229900000000001,-0.031190914344128816,849.0,1.0
2022-02-23 20:00:00+00:00,2022-02-24 08:00:00+00:00,long,0.5,37664.5,35490.3,12,-0.028862722191984436,0.0007,-4.785e-05,-0.029514872191984436,515.0,1.0
2023-02-19 07:00:00+00:00,2023-02-25 01:00:00+00:00,long,0.5,24576.7,23171.4,138,-0.02859008735916535,0.0007,4.16e-05,-0.02933168735916535,747.0,1.0
2025-03-01 13:00:00+00:00,2025-03-02 15:00:00+00:00,short,0.8,84484.9,87390.1,26,-0.027509768017716853,0.0011200000000000001,3.788e-05,-0.028667648017716853,1081.0,1.0
2024-03-14 16:00:00+00:00,2024-03-15 04:00:00+00:00,long,0.5,71412.0,67477.3,12,-0.02754929143561302,0.0007,0.000192575,-0.02844186643561302,895.0,2.0
2021-05-20 18:00:00+00:00,2021-05-21 13:00:00+00:00,short,0.8,39775.58,41094.55,19,-0.02652823667184734,0.0011200000000000001,8.008e-06,-0.027656244671847338,305.0,1.0
2024-09-28 03:00:00+00:00,2024-10-06 15:00:00+00:00,long,0.5,66041.0,62690.4,204,-0.025367574688451078,0.0007,0.000570975,-0.02663854968845108,992.0,2.0
