loss_streak_id,start,end,count,total_loss,worst_trade
104.0,2024-09-28 09:00:00+00:00,2024-10-06 07:00:00+00:00,8,-0.023834873238770597,-0.006278892062785125
216.0,2025-10-23 13:00:00+00:00,2025-10-31 02:00:00+00:00,7,-0.018620381602849397,-0.008220921935599071
101.0,2024-09-08 00:00:00+00:00,2024-09-13 08:00:00+00:00,6,-0.02444683128243457,-0.010325832534783657
194.0,2025-08-07 18:00:00+00:00,2025-08-13 09:00:00+00:00,5,-0.021885303651675802,-0.010321593900332566
1.0,2024-01-02 14:00:00+00:00,2024-01-29 11:00:00+00:00,5,-0.020806834790302382,-0.011044859258709055
110.0,2024-10-15 13:00:00+00:00,2024-10-26 00:00:00+00:00,5,-0.013476928025029089,-0.009296000565120997
58.0,2024-06-01 13:00:00+00:00,2024-06-18 08:00:00+00:00,5,-0.010934235023293186,-0.007162552799890704
161.0,2025-03-21 10:00:00+00:00,2025-03-25 11:00:00+00:00,5,-0.010508213888828232,-0.004735284221356419
93.0,2024-08-24 00:00:00+00:00,2024-08-28 09:00:00+00:00,5,-0.009950542925804846,-0.00410107368667416
180.0,2025-05-26 00:00:00+00:00,2025-05-29 12:00:00+00:00,5,-0.005673032146539623,-0.0026256923042066813
202.0,2025-08-30 08:00:00+00:00,2025-09-04 08:00:00+00:00,5,-0.004873687339588627,-0.001964362143052999
170.0,2025-04-20 13:00:00+00:00,2025-04-23 08:00:00+00:00,4,-0.021630449756082568,-0.008773991490640518
184.0,2025-06-07 02:00:00+00:00,2025-06-09 21:00:00+00:00,4,-0.02087218962475556,-0.008320556842698624
118.0,2024-11-25 09:00:00+00:00,2024-11-28 08:00:00+00:00,4,-0.018465953553420726,-0.008476730265196263
117.0,2024-11-15 21:00:00+00:00,2024-11-20 03:00:00+00:00,4,-0.015794233378098058,-0.007016380020844342
127.0,2024-12-16 18:00:00+00:00,2024-12-19 00:00:00+00:00,4,-0.004171145229503442,-0.0019323475309114444
177.0,2025-05-16 01:00:00+00:00,2025-05-19 11:00:00+00:00,4,-0.0034999733776544025,-0.0013884463132065256
31.0,2024-03-23 02:00:00+00:00,2024-03-25 14:00:00+00:00,3,-0.034596095968639794,-0.01917691411564627
75.0,2024-07-16 12:00:00+00:00,2024-07-17 21:00:00+00:00,3,-0.026498633070314425,-0.015647115435689418
165.0,2025-04-01 00:00:00+00:00,2025-04-02 15:00:00+00:00,3,-0.0263858982383706,-0.012488600924434701
206.0,2025-09-29 13:00:00+00:00,2025-10-01 23:00:00+00:00,3,-0.022697238776803113,-0.010480296508465513
123.0,2024-12-09 01:00:00+00:00,2024-12-10 17:00:00+00:00,3,-0.021427980246095466,-0.010784918524249556
136.0,2025-01-01 15:00:00+00:00,2025-01-04 17:00:00+00:00,3,-0.0211201254659756,-0.01284053481282962
172.0,2025-05-08 19:00:00+00:00,2025-05-09 20:00:00+00:00,3,-0.01875789744654089,-0.013159994390356235
145.0,2025-01-24 18:00:00+00:00,2025-01-27 04:00:00+00:00,3,-0.015014714774734829,-0.007333216027759456
