ema_fast,ema_slow,trend_threshold,use_macd,volume_filter,funding_z_cap,allow_short,total_return,annual_return,max_drawdown,sharpe,trades,long_trades,short_trades,exposure,abs_exposure,long_exposure,short_exposure,long_total_return,short_total_return,avg_bar_return_when_in_position,score
20,200,0.01,0,-999.0,1.5,1,3.041560082855532,0.3224915225974958,-0.35680111669340464,0.9366832353215141,382,239,143,0.0823795022576919,0.33398088837551193,0.20818019531660192,0.12580069305891,3.7238333822740453,0.03567968870091698,0.00015923814702609182,0.1909251260168692
12,200,0.01,0,-999.0,1.5,1,2.6740075224275786,0.2974941985601285,-0.37825287135418695,0.8907303495605161,385,240,145,0.08117189961146698,0.32873044208757746,0.20495117084952222,0.12377927123805524,3.2160373672972735,0.05647247095857577,0.00015385600314050336,0.15290428036106082
48,120,0.01,0,-999.0,1.5,1,2.2183393348645133,0.263560105007016,-0.3553474548281792,0.8239188320596331,375,238,137,0.07999054919668172,0.3272340648955161,0.20361230704609892,0.1236217578494172,3.3236673566032016,-0.10209551872335465,0.00014336157163664142,0.12708231919590804
30,96,0.01,0,-999.0,1.5,1,2.4878698269185944,0.2840631326582852,-0.40210975228812684,0.878961853493883,379,235,144,0.07768035282999054,0.305129686023312,0.19140501942665125,0.11372466659666072,3.96918300094541,-0.15161171487459368,0.0001585425904888245,0.12695634918891593
30,200,0.01,0,-999.0,1.5,1,2.208515357771515,0.26278722940108135,-0.35559029052708124,0.8161978505087273,387,241,146,0.08222198886905387,0.33928383912632576,0.2107529139976898,0.12853092512863593,3.039516892641399,-0.03610063972467237,0.00013959453043812652,0.1258019766629771
48,200,0.01,0,-999.0,1.5,1,2.3496353295803347,0.27371253593679734,-0.39331192540192084,0.8329262627811669,387,244,143,0.08193321432321747,0.3455056179775281,0.2137194161503728,0.1317862018271553,3.0145978958201383,0.012540665145092778,0.00014129709654423688,0.11870288637489526
48,96,0.01,0,-999.0,1.5,1,2.224002775060356,0.2640048041738663,-0.4168657614319299,0.8302285722531594,377,235,142,0.07741783051559382,0.3163656410794918,0.1968917357975428,0.11947390528194897,3.9325610887335145,-0.21076212762366187,0.00014750625725808375,0.09708335207055932
48,96,0.01,0,-999.0,999.0,1,2.48802971876953,0.2840749133782503,-0.46401337978889734,0.814478030727383,107,61,46,0.10170114459729077,0.39189331093142915,0.24679722776435997,0.1450960831670692,4.6672313778335575,-0.3506934291203059,0.0001256716572614269,0.09279212502017078
12,96,0.01,0,-999.0,1.5,1,2.0354256521072034,0.24884913531002395,-0.39560171538460265,0.8176166423440149,389,238,151,0.07741783051559382,0.28985088732542263,0.18363435892050825,0.10621652840491441,3.3253795582709706,-0.147514937496247,0.0001525391725986061,0.09192910973492338
30,96,0.01,0,-999.0,999.0,1,2.6050614066205644,0.2925841397259019,-0.496002706722078,0.83311292198122,122,69,53,0.10093982988554027,0.378845951905912,0.23989289089572613,0.13895306101018587,4.930466124090329,-0.3538662510467885,0.00013186996055594862,0.0862384324639239
20,200,0.01,0,-999.0,999.0,1,2.844219295383211,0.3093077590808393,-0.5350330361565216,0.8504131589079506,102,61,41,0.10605901501627639,0.41216003360285625,0.2591095243095663,0.15305050929328992,4.237964429684698,-0.2276748684518698,0.00012721186225717138,0.084311898947976
20,96,0.01,0,-999.0,1.5,1,2.1974353867708643,0.26191326716796337,-0.4634163628823956,0.8367577273671588,383,233,150,0.07768035282999054,0.2976215478315657,0.1876509503307781,0.10997059750078757,3.865534952585641,-0.2040984098174482,0.00015433996414524018,0.0720429720951235
20,200,0.005,0,-999.0,1.5,1,1.9856482029219502,0.24472324653187383,-0.43194719924859015,0.7685652317643654,460,278,182,0.08663236375091883,0.39073821274808357,0.23868528824950122,0.15205292449858238,4.16884858756832,-0.2729612906407125,0.00012102787770000105,0.06717790849579702
48,120,0.01,0,-999.0,999.0,1,2.3255643030381075,0.27187537325234845,-0.49557700896858803,0.7895599020556797,97,60,37,0.10485141237005145,0.4040218418565578,0.2544366271133046,0.14958521474325318,3.509692086241839,-0.2259179270979813,0.00011950436703471234,0.06356486387083843
30,60,0.01,0,-999.0,1.5,1,2.029396218011246,0.24835226898170615,-0.45786426108449796,0.8156227741694829,385,233,152,0.07831040638454269,0.28234274913367635,0.1803265777591095,0.10201617137456684,3.9357538445286426,-0.25591049071544636,0.00015628026476191084,0.06020127714793132
20,120,0.01,0,-999.0,1.5,1,2.053229001749217,0.2503116597178181,-0.46639601807269426,0.8064377350050461,385,236,149,0.07786411845006826,0.3102488711540481,0.19405649480205817,0.11619237635198992,3.8333551668895707,-0.23416843104224883,0.00014524483063879122,0.05743553743172328
20,200,0.0025,0,-999.0,1.5,1,1.9871708974580504,0.24485027052125719,-0.45533195717466446,0.763383648642732,507,301,206,0.08482095978158144,0.4280951380867374,0.2564580489341594,0.17163708915257797,4.805323604989849,-0.3369369611054033,0.00011305880823394178,0.055353474366061556
12,96,0.01,0,-999.0,999.0,1,2.1339311028754464,0.25685693666223797,-0.4836550271815623,0.7773128607225457,156,85,71,0.09936469599915992,0.358894256011761,0.22912947600546046,0.12976478000630054,4.417005837159858,-0.37451977720620255,0.00012807392268538402,0.053895066107584114
48,60,0.01,0,-999.0,999.0,1,2.244664282558947,0.2656218875605154,-0.5033402982311266,0.7879579845247228,128,70,58,0.10099233434841962,0.36855507718156044,0.23477370576499001,0.1337813714165704,4.740816184594275,-0.39744329349173557,0.0001275554415745549,0.05334963767118826
12,200,0.0,0,-999.0,1.5,1,1.9100571128538415,0.23835126082344904,-0.4493992174696796,0.7483011742010438,562,334,228,0.08762994854562638,0.45017326472750185,0.2689016066365641,0.18127165809093773,4.463082525639861,-0.2944447621752809,0.00010814783653629577,0.05106671079866144
48,60,0.01,0,-999.0,1.5,1,1.877785863911428,0.23559055462321954,-0.4503724266816075,0.7807074371730478,377,232,145,0.07741783051559382,0.29625643179670275,0.18683713115614828,0.10941930064055445,3.5715111250375395,-0.2398773447604462,0.00014534993363412362,0.04943971314106819
12,96,0.0,0,-999.0,1.5,1,1.6859907566590588,0.21865194002522093,-0.41283940012074627,0.7276111828376434,553,319,234,0.07975427911372467,0.3885330253071511,0.2341436522104379,0.15438937309671322,5.0447220045900565,-0.41407687880195865,0.00011524584477278604,0.04861279910672996
12,200,0.005,0,-999.0,1.5,1,1.794872014485037,0.2283822448306112,-0.440065161825266,0.7384564525693118,464,280,184,0.08563477895621127,0.38412265042528615,0.23487871469074872,0.14924393573453743,3.6386588362614027,-0.240109508739477,0.00011820800521254684,0.045272486546443794
48,96,0.01,0,-999.0,2.5,1,1.8351608206476149,0.23190590419272872,-0.449562539329901,0.7358399162272333,254,164,90,0.09057019846686969,0.36653365536070565,0.22855192691378767,0.137981728446918,5.040404645375929,-0.46705688199505224,0.00012038579570852248,0.043916630339139895
20,96,0.01,0,-999.0,999.0,1,2.2522179030746754,0.2662110197534062,-0.5260320843304465,0.7891656911284919,140,75,65,0.0995747138506773,0.3691851307361126,0.23437992229339494,0.13480520844271762,4.949739246434629,-0.41374046404159237,0.00012788990486912565,0.04265326214460759
12,200,0.0025,0,-999.0,1.5,1,1.7483438746526274,0.22426197557271688,-0.43804529319564656,0.7254909206681261,519,310,209,0.08447968077286569,0.4205607476635514,0.2525202142182085,0.16804053344534287,4.074037354463926,-0.29782556546923344,0.00010972991023164752,0.04151387500829991
20,200,0.0,0,-999.0,1.5,1,1.866417385309025,0.23461211723955477,-0.4645323655894783,0.73898722709821,551,326,225,0.08844376772025622,0.45812769085372257,0.2732857292869894,0.18484196156673316,5.068648267876616,-0.3778064366006124,0.00010558186382180356,0.03929529579972612
30,96,0.0,0,-999.0,1.5,1,1.6918289088738474,0.21918160438036827,-0.4326994930712674,0.7201867641189036,531,311,220,0.07789037068150793,0.4090360180615352,0.24346319437152159,0.16557282369001364,5.655002610127322,-0.47248690671809546,0.00011071591822034046,0.03884119605067973
30,60,0.01,0,-999.0,999.0,1,2.2624274424728763,0.2670055590659268,-0.5476043220441722,0.7952776420998389,155,79,76,0.10038853302530715,0.351202352199937,0.22579544261262208,0.12540690958731493,5.031266041187301,-0.415481023141423,0.00013392348844142493,0.03296728014883267
20,120,0.01,0,-999.0,999.0,1,1.9977652841313138,0.24573262905248017,-0.5011237852126129,0.7488508136439477,126,72,54,0.10057229864538486,0.3847264517483986,0.24264937519689173,0.14207707655150686,4.685046192333551,-0.4383949260046256,0.00011766734297163468,0.032613277128371095
30,120,0.01,0,-999.0,1.5,1,1.6973943698777476,0.2196856741332196,-0.4482944821347836,0.7374677622470643,380,235,145,0.07878294655045678,0.3167856767825265,0.19778431166649166,0.11900136511603486,3.4154803793551265,-0.26124050653887676,0.00013257092221346468,0.032411821178181005
12,200,0.01,0,-999.0,999.0,1,2.036923549935535,0.24897244983410194,-0.5191380197542536,0.7486004629427173,114,70,44,0.10424761104693898,0.4057282369001365,0.25498792397353776,0.15074031292659876,3.167999368878654,-0.2286221020004765,0.00011395344314864629,0.026833463104111027
20,200,0.01,0,-999.0,2.5,1,2.0255659343798955,0.2480362165880412,-0.5214644677993037,0.7600119081788463,257,165,92,0.09534810458889005,0.3858552977003045,0.24060170114459728,0.14525359655570724,4.645967598073221,-0.39061881982472846,0.00012061693762939533,0.025304578097331692
30,96,0.01,0,-999.0,2.5,1,1.7676562408548189,0.22597889161976292,-0.47807836634897927,0.7275338022945266,268,171,97,0.09009765830095558,0.35340753964086946,0.22175259897091254,0.13165494066995695,4.998941074886789,-0.47246951053154174,0.00012265651913819376,0.023316398559999618
30,200,0.01,0,-999.0,999.0,1,2.0837188121684225,0.2528005938645419,-0.5353439096146559,0.7522329401182629,99,58,41,0.10695159088522524,0.41877559592565367,0.26286359340543947,0.15591200252021423,3.365577477827701,-0.2577742401513402,0.00011195090101359136,0.02274028606312708
12,120,0.01,0,-999.0,999.0,1,1.906863116182361,0.23807911926217784,-0.5309550912671774,0.73658579085553,143,76,67,0.09860338128740943,0.37566943190171165,0.23713640659456053,0.13853302530715111,4.94303067384407,-0.4746164984613077,0.000118386822395255,0.00943086317136562
20,96,0.01,0,-999.0,2.5,1,1.5105247162543711,0.20228564713062336,-0.4547765011522399,0.6829230379386169,282,173,109,0.08889005565473065,0.34385172739682873,0.21637089152577968,0.12748083587104905,4.993155302836974,-0.5176527515400009,0.00011835684991013205,0.009043548451434257
48,200,0.01,0,-999.0,999.0,1,2.217243715825201,0.2634740036224694,-0.5860605926079866,0.7674056938838009,93,57,36,0.10716160873674262,0.42612622072876194,0.2666439147327523,0.15948230599600965,3.249927392045006,-0.20694703235550094,0.00011350333656225727,0.008813992012666166
48,200,0.005,0,-999.0,1.5,1,1.478158533944074,0.1991673833634804,-0.45148943846504386,0.6723778858053117,469,285,184,0.08973012706080016,0.4117925023627008,0.2507613147117505,0.16103118765095034,3.7670934486796757,-0.34273130861205037,0.00010489361765492256,0.007041558421224045
20,96,0.0,0,-999.0,1.5,1,1.4764516118983217,0.1990020306097331,-0.46065398860331475,0.6814518872385339,542,311,231,0.07951800903076761,0.3984826210227869,0.23900031502677727,0.15948230599600965,5.221230686845334,-0.47799245660740175,0.00010782050578525207,0.0027476306700024156
48,120,0.01,0,-999.0,2.5,1,1.6124924433902939,0.2119037781781219,-0.4881278493140133,0.694119005681571,248,165,83,0.09393048409114775,0.37834715950855824,0.236138821799853,0.14220833770870525,3.8012592106545373,-0.3840210474195008,0.00011182617839163654,0.002545803805193786
30,60,0.01,0,-999.0,2.5,1,1.5019285250900474,0.20146061261735926,-0.46719431774753206,0.6850058228658614,291,173,118,0.09001890160663656,0.32644649795232594,0.20823269977948125,0.11821379817284469,5.103135129983399,-0.5258371084334763,0.00012337354155079824,0.0021137448868863012
48,60,0.01,0,-999.0,2.5,1,1.4716322936569313,0.19853468162463206,-0.4626535545627658,0.675208385485667,269,169,100,0.08994014491231754,0.3433266827680353,0.21663341384017643,0.12669326892785887,4.815820674320586,-0.5138166633778464,0.00011690195112349829,0.0009683236175325113
12,120,0.01,0,-999.0,1.5,1,1.8173825191251751,0.23035598398645996,-0.539319688427814,0.7662546752662907,389,233,156,0.07699779481255907,0.30344954321117296,0.19022366901186602,0.11322587419930694,4.020916703340798,-0.31836136129497317,0.0001412163525748365,-0.0009911264641324913
12,96,0.01,0,-999.0,2.5,1,1.4022827438873766,0.1917275095910762,-0.4544572929842795,0.6656541423970525,293,179,114,0.0886537855717736,0.3339546361440722,0.21130421085792292,0.12265042528614932,4.42433015670385,-0.48723537131671457,0.00011737038996253845,-0.0022184297812109233
30,96,0.0025,0,-999.0,1.5,1,1.320295589211609,0.18347404375964738,-0.4542500857479417,0.6500002479097061,495,294,201,0.07757534390423186,0.38393888480520844,0.23075711435472016,0.15318177045048828,4.563229952174988,-0.46576656102275316,0.00010551855507269038,-0.011150986718838157
30,120,0.01,0,-999.0,999.0,1,1.693673838718858,0.21934879393871531,-0.5336271640281344,0.6987106808948558,110,63,47,0.10238370261472225,0.3925233644859813,0.24745353355035177,0.14506983093562953,4.09226371419118,-0.441110060570978,0.00010846547833868427,-0.012529254030609081
12,96,0.0,0,-999.0,999.0,1,1.7890381012969776,0.22786864866036027,-0.5571863601323624,0.7086602170997763,239,124,115,0.10149112674577339,0.4822534915467815,0.29187230914627743,0.19038118240050406,6.684436160233154,-0.5909714621337481,9.566230080492031e-05,-0.015291520550832133
12,96,0.0025,0,-999.0,1.5,1,1.2950458723988083,0.18088524874968304,-0.457873295626144,0.6511721891698874,517,302,215,0.0794392523364486,0.3627533340333928,0.22109629318492072,0.1416570408484721,4.0965493432906674,-0.4168123259506812,0.0001096197333639492,-0.015492789604894586
30,96,0.005,0,-999.0,1.5,1,1.557251446620739,0.2067312122724294,-0.5263647431684491,0.7033134952308482,454,273,181,0.07930799117925023,0.3529087472435157,0.21610836921138296,0.13680037803213274,4.428340751068405,-0.4088253088623014,0.00011927697697373832,-0.021285484550252705
30,96,0.0,0,-999.0,999.0,1,1.8204706159733668,0.23062576597054374,-0.5776493993372209,0.7087465473891188,183,97,86,0.10009975847947075,0.5088470019951696,0.3044733802373202,0.20437362175784943,7.093701779573015,-0.6181240885925885,9.15067085794805e-05,-0.02276160632861078
30,200,0.005,0,-999.0,1.5,1,1.2822774405274022,0.17956744811291392,-0.4728762159820117,0.6356074123878727,467,279,188,0.08794497532290245,0.3994539535860548,0.24369946445447863,0.1557544891315762,3.6649406545799783,-0.38204701253990647,0.00010158906019124483,-0.025090289258698287
20,120,0.01,0,-999.0,2.5,1,1.351799174092216,0.18667262384608208,-0.4966474647135317,0.6488313721701906,273,173,100,0.08991389268087788,0.359051769400399,0.22448283104063846,0.13456893835976058,4.766907908159873,-0.5325305444642698,0.00010927726506645814,-0.02920953990217425
12,200,0.01,0,-999.0,2.5,1,1.3836752151917646,0.18987432606493893,-0.5045364382568222,0.650716830000903,268,173,95,0.09364170954531136,0.3794235009975848,0.23653260527144807,0.14289089572613672,3.4710589050768705,-0.3903975503923146,0.00010610554716718607,-0.029858051563427003
20,120,0.0,0,-999.0,1.5,1,1.3065069984032003,0.1820631403499846,-0.4914287229577249,0.643252614285045,543,314,229,0.07888795547621548,0.4169641919563163,0.24792607371626588,0.1690381182400504,5.184478109160783,-0.510680909909264,9.949996679989802e-05,-0.03148859041462558
30,200,0.0025,0,-999.0,1.5,1,1.1188401203395433,0.1621556783346636,-0.45929149634445277,0.5973240590712201,515,301,214,0.08597605796492702,0.43828100388533026,0.2621285309251286,0.17615247296020162,4.214163928737837,-0.4742584478653721,9.073182812900933e-05,-0.03762386688400178
48,200,0.0025,0,-999.0,1.5,1,1.3266936591204312,0.1841264428596625,-0.5094596522938557,0.6392039992372317,516,305,211,0.08831250656305786,0.45484616192376354,0.2715793342434107,0.18326682768035282,4.634198871576564,-0.465456526222246,9.38949458164447e-05,-0.03864318332540376
30,200,0.01,0,-999.0,2.5,1,1.3655541905284463,0.18805844017728535,-0.522631020774439,0.6449718292019552,256,164,92,0.09605691483776121,0.39239210332878294,0.2442245090832721,0.14816759424551088,3.5971756069988343,-0.415148775533439,0.00010280223849956982,-0.0410084787498364
20,96,0.0025,0,-999.0,1.5,1,1.234066010204252,0.17453786331504895,-0.49607865514009963,0.6330486027929438,505,293,212,0.07912422555917253,0.3727816864433477,0.2259529560012601,0.14682873044208758,4.3864440286393975,-0.4660745401206168,0.0001056102711147881,-0.04184903411535368
12,120,0.0,0,-999.0,1.5,1,1.4066194783767014,0.1921577683374347,-0.5352068867176645,0.6658703949406518,561,321,240,0.07946550456788827,0.40656830830620605,0.24301690643704715,0.16355140186915887,5.985591023658298,-0.5439060214037772,0.00010482738874612881,-0.04215215527436495
12,96,0.005,0,-999.0,1.5,1,1.4139591224336687,0.1928845426955439,-0.544503536830414,0.6817569411104951,470,279,191,0.0802005670481991,0.3342696629213483,0.2072351149847737,0.12703454793657462,3.8301906286750214,-0.367806003808822,0.00011987298152630842,-0.04527937866413834
48,120,0.005,0,-999.0,1.5,1,1.2662942524663352,0.1779095230534724,-0.5178274235869584,0.6355374388134452,448,273,175,0.08232699779481256,0.3805523469494907,0.23143967237215163,0.14911267457733907,3.9634828512170666,-0.42873704217998954,0.00010421148687344238,-0.04922731679933455
