loss_streak_id,start,end,count,total_loss,worst_trade
7.0,2024-02-18 15:00:00+00:00,2024-03-10 18:00:00+00:00,5,-0.16238641232497233,-0.06873720711986209
12.0,2024-03-17 03:00:00+00:00,2024-03-19 04:00:00+00:00,3,-0.19124548202066916,-0.08350000000000007
0.0,2024-01-01 01:00:00+00:00,2024-01-28 05:00:00+00:00,3,-0.10205166021127735,-0.061852940589839873
4.0,2024-02-04 20:00:00+00:00,2024-02-07 01:00:00+00:00,2,-0.04580664568743065,-0.03758711777119644
14.0,2024-04-06 21:00:00+00:00,2024-04-11 05:00:00+00:00,2,-0.041248031148001685,-0.021340272018342297
13.0,2024-03-26 18:00:00+00:00,2024-03-29 15:00:00+00:00,2,-0.023503044758032516,-0.01981279345476658
8.0,2024-03-12 07:00:00+00:00,2024-03-12 21:00:00+00:00,2,-0.011725997914797857,-0.009323511558500638
5.0,2024-02-11 01:00:00+00:00,2024-02-11 08:00:00+00:00,1,-0.04259830868850606,-0.04259830868850606
15.0,2024-04-15 19:00:00+00:00,2024-04-16 16:00:00+00:00,1,-0.019229507031185467,-0.019229507031185467
9.0,2024-03-13 21:00:00+00:00,2024-03-14 01:00:00+00:00,1,-0.017409479830541714,-0.017409479830541714
