loss_streak_id,start,end,count,total_loss,worst_trade
88.0,2025-01-10 20:00:00+00:00,2025-01-25 15:00:00+00:00,8,-0.13625612830461548,-0.08531740000000007
81.0,2024-12-03 02:00:00+00:00,2024-12-26 18:00:00+00:00,7,-0.18143565300614303,-0.0734076272969579
31.0,2024-05-01 19:00:00+00:00,2024-05-09 12:00:00+00:00,6,-0.29128219017954304,-0.08560000000000006
219.0,2026-01-01 03:00:00+00:00,2026-01-12 04:00:00+00:00,6,-0.1205869013208928,-0.05017245394091356
152.0,2025-07-08 05:00:00+00:00,2025-07-28 04:00:00+00:00,5,-0.20469365690626073,-0.07589535924952429
232.0,2026-02-27 10:00:00+00:00,2026-03-02 08:00:00+00:00,4,-0.24189054847080663,-0.08601108000000006
0.0,2024-01-01 01:00:00+00:00,2024-01-29 04:00:00+00:00,4,-0.15231983666997692,-0.06174410458983987
109.0,2025-04-05 19:00:00+00:00,2025-04-17 09:00:00+00:00,4,-0.13007727428178859,-0.05692819589857036
5.0,2024-02-23 03:00:00+00:00,2024-03-10 18:00:00+00:00,4,-0.11317158284118668,-0.05167629811018497
204.0,2025-11-20 01:00:00+00:00,2025-11-23 10:00:00+00:00,4,-0.098549994435334,-0.07299113785893824
26.0,2024-04-24 21:00:00+00:00,2024-04-26 19:00:00+00:00,4,-0.049136943245888506,-0.02383060917532824
105.0,2025-03-30 11:00:00+00:00,2025-04-02 20:00:00+00:00,4,-0.044984575386113855,-0.02961395960755034
142.0,2025-06-18 12:00:00+00:00,2025-06-26 21:00:00+00:00,4,-0.006175435713964542,-0.002277005010011973
35.0,2024-05-31 09:00:00+00:00,2024-06-04 01:00:00+00:00,4,-0.00587803638279913,-0.0036799234003318357
9.0,2024-03-17 03:00:00+00:00,2024-03-19 04:00:00+00:00,3,-0.19124548202066916,-0.08350000000000007
100.0,2025-03-02 11:00:00+00:00,2025-03-10 08:00:00+00:00,3,-0.17228158290847087,-0.08560000000000006
160.0,2025-08-30 08:00:00+00:00,2025-09-02 13:00:00+00:00,3,-0.14370231494439517,-0.0843290639541121
137.0,2025-05-28 13:00:00+00:00,2025-06-02 22:00:00+00:00,3,-0.09134079889149646,-0.08522692500000051
182.0,2025-10-05 01:00:00+00:00,2025-10-06 11:00:00+00:00,3,-0.07841184318696458,-0.050725395577057436
199.0,2025-11-15 04:00:00+00:00,2025-11-16 09:00:00+00:00,3,-0.07635598246762215,-0.04419961975279654
134.0,2025-05-12 15:00:00+00:00,2025-05-15 03:00:00+00:00,3,-0.07600236480263663,-0.06608723785739791
215.0,2025-12-20 09:00:00+00:00,2025-12-23 08:00:00+00:00,3,-0.05737972334166514,-0.028726624146266328
128.0,2025-05-06 02:00:00+00:00,2025-05-07 08:00:00+00:00,3,-0.053123050556534115,-0.04623536544748824
38.0,2024-06-25 10:00:00+00:00,2024-06-27 12:00:00+00:00,3,-0.04557776221852195,-0.03179220358259817
36.0,2024-06-06 05:00:00+00:00,2024-06-09 21:00:00+00:00,3,-0.044272565279584154,-0.04323281372231653
205.0,2025-11-26 04:00:00+00:00,2025-11-29 08:00:00+00:00,3,-0.03429093967152256,-0.030164675848419354
33.0,2024-05-16 14:00:00+00:00,2024-05-19 04:00:00+00:00,3,-0.002111383461769856,-0.0011196015424164538
77.0,2024-11-12 11:00:00+00:00,2024-11-15 15:00:00+00:00,2,-0.17162053100000058,-0.0861243200000005
157.0,2025-08-26 10:00:00+00:00,2025-08-27 14:00:00+00:00,2,-0.17112268000000014,-0.08560000000000006
43.0,2024-07-25 21:00:00+00:00,2024-07-27 13:00:00+00:00,2,-0.16060819445913757,-0.08489949199999972
243.0,2026-03-30 01:00:00+00:00,2026-03-31 04:00:00+00:00,2,-0.13861180284706565,-0.08560000000000006
95.0,2025-02-12 01:00:00+00:00,2025-02-13 07:00:00+00:00,2,-0.13256281132213885,-0.0857340000000005
