loss_streak_id,start,end,count,total_loss,worst_trade
14.0,2026-02-27 10:00:00+00:00,2026-03-06 14:00:00+00:00,5,-0.26771447005369703,-0.09601107999999985
0.0,2026-01-01 03:00:00+00:00,2026-01-06 21:00:00+00:00,4,-0.04265319012318418,-0.030882083237682573
20.0,2026-03-30 01:00:00+00:00,2026-03-31 04:00:00+00:00,2,-0.14861180284706543,-0.09559999999999985
5.0,2026-01-26 09:00:00+00:00,2026-01-27 16:00:00+00:00,2,-0.1297673161350449,-0.09487271999999985
15.0,2026-03-16 17:00:00+00:00,2026-03-21 01:00:00+00:00,2,-0.057591765982590575,-0.05384216418839475
9.0,2026-02-20 10:00:00+00:00,2026-02-20 21:00:00+00:00,2,-0.040609171138939054,-0.021210196779964215
21.0,2026-04-02 02:00:00+00:00,2026-04-04 04:00:00+00:00,2,-0.03906900727129979,-0.03254312083289146
3.0,2026-01-23 19:00:00+00:00,2026-01-24 12:00:00+00:00,2,-0.0059062858750710484,-0.004711815649531359
6.0,2026-02-08 07:00:00+00:00,2026-02-08 11:00:00+00:00,1,-0.09572183999999985,-0.09572183999999985
22.0,2026-04-09 17:00:00+00:00,2026-04-10 03:00:00+00:00,1,-0.0452953748627339,-0.0452953748627339
12.0,2026-02-24 01:00:00+00:00,2026-02-24 13:00:00+00:00,1,-0.03772551509046835,-0.03772551509046835
24.0,2026-04-23 00:00:00+00:00,2026-04-27 01:00:00+00:00,1,-0.031672407496468886,-0.031672407496468886
2.0,2026-01-18 01:00:00+00:00,2026-01-18 05:00:00+00:00,1,-0.0014447235084486918,-0.0014447235084486918
