ema_len,left,right,train_total_return,train_annual_return,train_max_drawdown,train_sharpe,train_trades,train_win_rate,train_avg_trade,test_total_return,test_annual_return,test_max_drawdown,test_sharpe,test_trades,test_win_rate,test_avg_trade,score
7,5,1,-0.1218290934690679,-0.03197828396632696,-0.4764950229713172,0.11700821235357059,401,0.14713216957605985,0.0004820604578530964,1.0372136601010626,1.0382068107704034,-0.07586249198478812,2.048253510830073,84,0.23809523809523808,0.009279058916136286,1.102688240319513
5,5,1,0.06549857197125952,0.01599819398092861,-0.5638039415372167,0.24698542837861623,437,0.16247139588100687,0.0010063623904300921,1.0259220425967053,1.0269019722959847,-0.15878926507459812,1.8723461972626063,111,0.2072072072072072,0.007112113098897675,1.0411246496218158
7,8,1,-0.26510359503773206,-0.07416493705049265,-0.4965068471603694,0.005530385909272162,370,0.13513513513513514,2.4520843953996425e-05,0.8803299289716144,0.8811433440189218,-0.08399188942294544,1.9276289215214377,71,0.2535211267605634,0.009741864676842052,0.935528845383521
7,10,1,-0.3303328214205672,-0.09544509107823007,-0.540951192505454,-0.07002129887108847,341,0.1348973607038123,-0.0003224297318106814,0.8803299289716144,0.8811433440189218,-0.08399188942294544,1.9276289215214377,71,0.2535211267605634,0.009741864676842052,0.935528845383521
5,10,1,-0.39111124531442454,-0.11672163260680357,-0.6553544007795535,-0.12642041940914667,349,0.13753581661891118,-0.0005735979457845216,0.9395899972088113,0.9404702880090616,-0.19783031388701477,1.757358466933036,94,0.2127659574468085,0.007939812106355068,0.9294230544122061
5,12,1,-0.42549491771315373,-0.12947298730478274,-0.6412526785792401,-0.17065459878764186,337,0.13353115727002968,-0.0007908432190898125,0.9395899972088113,0.9404702880090616,-0.19783031388701477,1.757358466933036,94,0.2127659574468085,0.007939812106355068,0.9294230544122061
5,8,1,-0.1234098222469504,-0.03241449242074734,-0.6230799614256527,0.11740082016369054,376,0.14627659574468085,0.0005206199433773803,0.8474346443085023,0.8482114868301578,-0.19783031388701466,1.6641749425809673,101,0.2079207920792079,0.006882114794103016,0.8325050770156988
5,15,1,-0.5126124369307241,-0.16456019320762605,-0.6199759731306016,-0.27683887116313716,325,0.12,-0.0013302774543936073,0.7703424315883987,0.7710351504937865,-0.16320970039840443,1.6698455367848202,79,0.21518987341772153,0.008091261260674124,0.7729225771338253
10,8,1,-0.6313951811588827,-0.22094874212475157,-0.7088655578077274,-0.40228916360158556,391,0.10997442455242967,-0.0017172148908410206,0.6512230856569683,0.6517903853157694,-0.09547215910093254,1.6375329050205478,65,0.23076923076923078,0.008538518781617557,0.6859309510163305
7,12,1,-0.23219832426569997,-0.0639638648120362,-0.5409455690235552,0.04906832052412449,330,0.1303030303030303,0.0002612026866295059,0.6385192729471023,0.6390735374034993,-0.08399188942294533,1.6668119362339813,60,0.25,0.009057881119273801,0.6804181895037257
14,10,1,-0.7729919869138946,-0.30991906385737833,-0.7904164138927811,-1.0141434505122287,328,0.10975609756097561,-0.003921439223037361,0.6784036453730069,0.678999059040432,-0.23171930803315555,1.5957047559482593,68,0.19117647058823528,0.008512685898091944,0.6429246428212673
10,5,1,-0.5800705514271893,-0.19512292391149455,-0.666917783802402,-0.3473171183937276,411,0.12895377128953772,-0.0013630514769676226,0.6084253666732846,0.6089490226317784,-0.09547215910093243,1.5586997372030098,68,0.22058823529411764,0.007777487115221495,0.6391479299414626
30,20,1,-0.4196731779145164,-0.1272744433696864,-0.4677598110118695,-0.6223404479325959,147,0.10884353741496598,-0.0032347918615799535,0.6076263213521877,0.6081491698316492,-0.10454557153650856,1.4708245349538867,58,0.1896551724137931,0.009225411811296252,0.6294176108110893
5,20,1,-0.4990219645429872,-0.15879223979410806,-0.6162270117546198,-0.2632032998048189,313,0.1182108626198083,-0.0013051261445696431,0.6298077404615092,0.6303531051391367,-0.16320970039840477,1.5379066526360885,65,0.2153846153846154,0.008415035030885278,0.6256435875717388
30,5,1,-0.7385509515720292,-0.2850971903642061,-0.7385509515720292,-1.2488354134253492,208,0.08653846153846154,-0.005868245720711438,0.6227328559724665,0.6232710163699984,-0.16105989335990056,1.4537349608720895,70,0.17142857142857143,0.007851976428127225,0.6154278177336525
14,8,1,-0.7953852524614285,-0.3276177458795647,-0.8110908422281511,-1.0891466028434678,340,0.10588235294117647,-0.00408334859196758,0.607484472912261,0.6080071780745662,-0.17351455920507308,1.4661613013071009,74,0.17567567567567569,0.007255579620207516,0.5945579635373847
14,5,1,-0.7422072463300903,-0.28761155496572943,-0.7525104417578672,-0.9010050954757998,354,0.12146892655367232,-0.0032613987607749586,0.5812438038229175,0.581740145060663,-0.17351455920507386,1.4205964612654858,76,0.17105263157894737,0.0068491086904707245,0.5660126885214003
7,15,1,-0.34098183697394935,-0.09906525642964359,-0.5783222227894247,-0.05094234963024416,318,0.12578616352201258,-0.00027330716970131526,0.5155537932357481,0.5159854562995143,-0.08399188942294533,1.5015190212382767,57,0.24561403508771928,0.008062655130463905,0.5490654626499555
7,20,1,-0.27603382742621274,-0.07762919596246676,-0.5392495983074201,0.003553293321334933,303,0.1254125412541254,1.9978984424560824e-05,0.48731715972790846,0.48772161617879206,-0.08399188942294544,1.4683963334506849,51,0.23529411764705882,0.008599736522646484,0.5191454881398536
30,15,1,-0.4765857953659951,-0.14952170744813864,-0.48753249460570913,-0.6422455177556416,165,0.10909090909090909,-0.0033879895263579977,0.4669729113650063,0.46735799308734904,-0.10454557153650856,1.2515951938821706,57,0.17543859649122806,0.007705155313141463,0.47766496701320327
30,12,1,-0.5016766140234399,-0.15990960139849786,-0.5130065427412109,-0.6829570865013898,187,0.10160427807486631,-0.00323485342968934,0.4669729113650063,0.46735799308734904,-0.10454557153650856,1.2515951938821706,57,0.17543859649122806,0.007705155313141463,0.47766496701320327
30,10,1,-0.6032170738488498,-0.2064587576860204,-0.6032170738488498,-0.7651193365493483,191,0.1099476439790576,-0.004138290669999866,0.4669729113650063,0.46735799308734904,-0.10454557153650856,1.2515951938821706,57,0.17543859649122806,0.007705155313141463,0.47766496701320327
14,12,1,-0.776907239024912,-0.31291604184676347,-0.7940311434645941,-1.0321838974955615,325,0.1076923076923077,-0.004015052526106604,0.5170737666473177,0.517506904529542,-0.23774174973073914,1.3845817719868923,61,0.18032786885245902,0.007706313351317516,0.467865118263517
14,15,1,-0.7315445432600135,-0.2803517673597281,-0.7521503467268507,-0.8907069663080501,311,0.10932475884244373,-0.0036059399793583295,0.5170737666473177,0.517506904529542,-0.23774174973073914,1.3845817719868923,61,0.18032786885245902,0.007706313351317516,0.467865118263517
7,30,1,0.3184513598859986,0.07160957895926123,-0.4452005234275014,0.3481347942471461,256,0.13671875,0.002090237621798781,0.43023521846041235,0.43058580513778355,-0.08399188942294555,1.3796532149008813,47,0.23404255319148937,0.00843090826891249,0.45757252117135483
10,10,1,-0.6645761852763301,-0.23911812385957842,-0.7254261754090776,-0.47295598478126616,383,0.10704960835509138,-0.002026991068847853,0.42227474999561165,0.42261794686536747,-0.12738718551594108,1.2888989450817663,58,0.22413793103448276,0.006830009208694526,0.42336930136148526
30,8,1,-0.6225238107291975,-0.216299831577611,-0.6225238107291975,-0.8114981212120812,194,0.10824742268041238,-0.004328937300526419,0.43921614956170196,0.4395751098127938,-0.1610598933599,1.1786465173992633,65,0.15384615384615385,0.006506174143404234,0.41797748900280696
20,15,1,-0.37193860321771877,-0.10984438329585344,-0.42605618428757297,-0.2653097716181494,198,0.12626262626262627,-0.0015342794699534693,0.39940359768687284,0.3997257335138342,-0.12809236752309994,1.4310543311721198,41,0.21951219512195122,0.008954953258931102,0.40723226631089027
10,20,1,-0.4259377549336629,-0.12964090459105593,-0.6631394104671753,-0.10842921338696797,334,0.11377245508982035,-0.0005794754599746973,0.37612746513509676,0.37642843013258,-0.09844333125886928,1.3045958228189038,36,0.25,0.009806525580785532,0.3924365556440905
10,30,1,-0.0842492574231517,-0.021777213659638583,-0.6694250076523887,0.11899098122625149,283,0.1166077738515901,0.0006686054281887728,0.37612746513509676,0.37642843013258,-0.09844333125886928,1.3045958228189038,36,0.25,0.009806525580785532,0.3924365556440905
10,12,1,-0.5640103697489731,-0.18753005127890754,-0.7107616598566593,-0.2608610508229504,363,0.10743801652892562,-0.0012857899562334766,0.389891998343735,0.39020545056434863,-0.12888849755687093,1.2323574948815028,54,0.2222222222222222,0.006875578753415949,0.3873790765299883
14,20,1,-0.5662995263538328,-0.18859935407577721,-0.6738485694212257,-0.5956327657501777,283,0.12014134275618374,-0.0024126346253726754,0.35467922842916955,0.3549609240052547,-0.1770950534666268,1.1551137315889437,45,0.17777777777777778,0.007657523463464883,0.3241690838513885
5,30,1,0.13645572090741798,0.032518025495271496,-0.4761754177015691,0.2528203145882167,257,0.1245136186770428,0.0015484814527761816,0.3479650094730624,0.34824072056589905,-0.16320970039840477,1.06682642014317,56,0.17857142857142858,0.006205670253951077,0.31997719137385516
20,8,1,-0.48464810183197393,-0.15281809180564343,-0.494647898898125,-0.42958630075709753,218,0.11926605504587157,-0.002283772462881538,0.319257240704204,0.3195076241385233,-0.14961156339117176,1.1128732613839265,55,0.16363636363636364,0.0057241379070880095,0.30034550551213374
