entry_time,exit_time,side,size,entry_price,exit_price,bars,gross_return,turnover_cost,funding_cost,net_return,loss_streak_id,consecutive_loss_count
2025-10-17 00:00:00+00:00,2025-10-17 07:00:00+00:00,long,4.0,3925.79,3775.2310714285713,7,-0.15340497435820932,0.0056,0.0,-0.15900497435820932,112.0,4.0
2024-08-27 21:00:00+00:00,2024-08-29 12:00:00+00:00,short,4.0,2489.23,2577.778214285714,39,-0.14229012873171865,0.0056,0.00016115999999999998,-0.14805128873171863,40.0,1.0
2025-04-02 16:00:00+00:00,2025-04-02 20:00:00+00:00,short,4.0,1901.99,1950.547142857143,4,-0.10211860810444406,0.0056,0.0,-0.10771860810444406,80.0,1.0
2025-02-21 16:00:00+00:00,2025-02-21 20:00:00+00:00,long,2.5,2735.51,2632.1546428571432,4,-0.09445711873001472,0.0035,0.0,-0.09795711873001473,73.0,1.0
2026-03-21 01:00:00+00:00,2026-03-23 11:00:00+00:00,short,4.0,2146.62,2195.8717857142856,58,-0.09177550887308517,0.0056,0.00041504000000000004,-0.09779054887308516,134.0,2.0
2025-03-02 11:00:00+00:00,2025-03-02 15:00:00+00:00,short,4.0,2237.75,2289.1625,4,-0.09190034633001876,0.0056,0.0,-0.09750034633001875,74.0,2.0
2025-09-25 14:00:00+00:00,2025-09-25 18:00:00+00:00,long,2.5,4012.01,3866.854642857143,4,-0.09045052052640529,0.0035,0.00025,-0.09420052052640529,111.0,1.0
2025-04-01 08:00:00+00:00,2025-04-01 15:00:00+00:00,short,4.0,1883.41,1924.8778571428572,7,-0.08806973976533428,0.0056,0.0,-0.09366973976533427,79.0,1.0
2024-03-17 03:00:00+00:00,2024-03-17 07:00:00+00:00,long,2.5,3574.37,3446.052142857143,4,-0.08974858306698585,0.0035,0.0,-0.09324858306698586,18.0,1.0
2025-10-15 14:00:00+00:00,2025-10-16 16:00:00+00:00,long,2.5,4007.86,3868.96,26,-0.08664224798271392,0.0035,8.858999999999999e-05,-0.09023083798271392,112.0,3.0
2026-03-16 17:00:00+00:00,2026-03-17 01:00:00+00:00,short,4.0,2313.44,2359.83,8,-0.08020955806072294,0.0056,-0.0002062,-0.08560335806072293,134.0,1.0
2024-09-08 18:00:00+00:00,2024-09-08 22:00:00+00:00,short,4.0,2274.65,2319.0017857142857,4,-0.07799316064323847,0.0056,0.0,-0.08359316064323846,50.0,1.0
2025-11-09 06:00:00+00:00,2025-11-09 14:00:00+00:00,short,4.0,3403.49,3468.665,8,-0.07659784515306356,0.0056,-0.00026488,-0.08193296515306356,117.0,1.0
2024-12-22 10:00:00+00:00,2024-12-22 14:00:00+00:00,long,2.5,3377.94,3274.597142857143,4,-0.07648363880268544,0.0035,0.0,-0.07998363880268544,65.0,1.0
2024-08-04 01:00:00+00:00,2024-08-04 15:00:00+00:00,long,2.5,2906.04,2818.257857142857,14,-0.07551697744795555,0.0035,4.0875000000000004e-05,-0.07905785244795555,37.0,3.0
2026-04-15 07:00:00+00:00,2026-04-15 17:00:00+00:00,short,4.0,2315.53,2357.2621428571433,10,-0.0720908696620528,0.0056,-7.636000000000001e-05,-0.0776145096620528,135.0,1.0
2025-12-17 11:00:00+00:00,2025-12-17 15:00:00+00:00,short,4.0,2927.36,2979.3975,4,-0.07110502295583743,0.0056,0.0,-0.07670502295583742,123.0,1.0
2025-05-24 16:00:00+00:00,2025-05-24 21:00:00+00:00,long,4.0,2556.42,2513.7414285714285,5,-0.06677865363057967,0.0056,0.0,-0.07237865363057966,94.0,1.0
2025-11-16 00:00:00+00:00,2025-11-16 06:00:00+00:00,short,4.0,3151.53,3199.89,6,-0.061379710807131005,0.0056,0.0,-0.066979710807131,119.0,2.0
2025-12-21 17:00:00+00:00,2025-12-22 00:00:00+00:00,short,4.0,2982.44,3027.5685714285714,7,-0.060525705702138666,0.0056,9.328e-05,-0.06621898570213866,125.0,1.0
2025-09-01 23:00:00+00:00,2025-09-02 13:00:00+00:00,short,4.0,4313.0,4376.47,14,-0.05886389983770002,0.0056,-0.00023676,-0.06422713983770001,109.0,1.0
2025-01-08 01:00:00+00:00,2025-01-08 06:00:00+00:00,long,2.5,3389.82,3307.6,5,-0.06063743797605797,0.0035,0.0,-0.06413743797605798,69.0,1.0
2025-01-13 04:00:00+00:00,2025-01-13 08:00:00+00:00,long,2.5,3237.35,3161.6625,4,-0.058448653991690636,0.0035,0.00023382499999999998,-0.06218247899169064,69.0,2.0
2024-04-10 00:00:00+00:00,2024-04-10 13:00:00+00:00,long,4.0,3508.93,3464.0,13,-0.051217892633936835,0.0056,0.00061452,-0.057432412633936836,22.0,1.0
2025-10-26 09:00:00+00:00,2025-10-26 13:00:00+00:00,short,4.0,3986.09,4035.034642857143,4,-0.04911544180602334,0.0056,0.0,-0.05471544180602334,113.0,1.0
2025-04-19 12:00:00+00:00,2025-04-19 17:00:00+00:00,short,4.0,1596.51,1614.9117857142858,5,-0.04610503088433049,0.0056,-0.00028756,-0.05141747088433049,83.0,1.0
