entry_time,exit_time,side,size,entry_price,exit_price,bars,gross_return,turnover_cost,funding_cost,net_return,loss_streak_id,consecutive_loss_count
2025-06-22 00:00:00+00:00,2025-06-22 13:00:00+00:00,long,4.0,2293.55,2190.626785714286,13,-0.1795002756176478,0.0056,-7.044e-05,-0.1850298356176478,149.0,2.0
2025-10-17 00:00:00+00:00,2025-10-17 07:00:00+00:00,long,4.0,3925.79,3775.2310714285713,7,-0.15340497435820932,0.0056,0.0,-0.15900497435820932,187.0,4.0
2025-01-30 04:00:00+00:00,2025-01-31 11:00:00+00:00,short,4.0,3196.05,3312.219642857143,31,-0.1453915212304473,0.0056,-0.00137756,-0.1496139612304473,99.0,3.0
2024-08-27 21:00:00+00:00,2024-08-29 12:00:00+00:00,short,4.0,2489.23,2577.778214285714,39,-0.14229012873171865,0.0056,0.00016115999999999998,-0.14805128873171863,57.0,1.0
2024-07-25 21:00:00+00:00,2024-07-26 19:00:00+00:00,short,4.0,3175.56,3278.2617857142855,22,-0.12936525931084386,0.0056,-0.00048399999999999995,-0.13448125931084384,43.0,1.0
2025-03-06 00:00:00+00:00,2025-03-06 05:00:00+00:00,short,4.0,2237.26,2308.5778571428573,5,-0.12750928750857238,0.0056,0.0,-0.13310928750857237,106.0,3.0
2026-01-21 16:00:00+00:00,2026-01-21 20:00:00+00:00,short,4.0,2889.94,2981.4989285714287,4,-0.12672779167931303,0.0056,0.0,-0.13232779167931302,204.0,1.0
2025-10-30 13:00:00+00:00,2025-10-31 11:00:00+00:00,short,4.0,3764.66,3875.1117857142854,22,-0.11735645260319405,0.0056,-0.00018407999999999999,-0.12277237260319404,187.0,8.0
2024-05-02 08:00:00+00:00,2024-05-03 02:00:00+00:00,short,4.0,2940.45,3024.2321428571427,18,-0.11397186533645254,0.0056,-0.00047204,-0.11909982533645253,31.0,2.0
2026-02-28 00:00:00+00:00,2026-02-28 06:00:00+00:00,long,4.0,1931.21,1877.3975,6,-0.11145861920764721,0.0056,0.0,-0.11705861920764721,218.0,2.0
2026-03-07 00:00:00+00:00,2026-03-08 12:00:00+00:00,long,4.0,1980.07,1925.2217857142855,36,-0.1108005561130958,0.0056,-0.0006686800000000001,-0.1157318761130958,221.0,2.0
2024-06-19 01:00:00+00:00,2024-06-20 07:00:00+00:00,short,4.0,3516.64,3611.9525,30,-0.10841314436507599,0.0056,-0.00064488,-0.11336826436507598,36.0,1.0
2025-11-10 21:00:00+00:00,2025-11-11 01:00:00+00:00,short,4.0,3540.12,3634.655714285714,4,-0.10681639524729558,0.0056,-0.00011848,-0.11229791524729557,187.0,10.0
2026-01-27 00:00:00+00:00,2026-01-27 16:00:00+00:00,short,4.0,2919.37,2993.798571428571,16,-0.10197894947001718,0.0056,-0.0007272800000000001,-0.10685166947001717,206.0,2.0
2025-01-25 00:00:00+00:00,2025-01-26 04:00:00+00:00,short,4.0,3272.21,3354.986785714286,28,-0.10118762024966088,0.0056,-0.00100552,-0.10578210024966088,99.0,2.0
