loss_streak_id,start,end,count,total_loss,worst_trade
275.0,2025-07-08 05:00:00+00:00,2025-07-27 18:00:00+00:00,6,-0.07220673325658118,-0.0184581036804388
247.0,2025-05-14 09:00:00+00:00,2025-05-19 03:00:00+00:00,6,-0.03868234088455821,-0.014428952602966363
172.0,2025-01-13 06:00:00+00:00,2025-01-17 20:00:00+00:00,5,-0.08509468837335002,-0.024246886093941048
19.0,2024-02-18 15:00:00+00:00,2024-02-21 14:00:00+00:00,4,-0.03509708764406117,-0.013261645761487743
226.0,2025-04-24 17:00:00+00:00,2025-04-28 06:00:00+00:00,4,-0.02738905352438511,-0.015573407985636879
280.0,2025-08-02 21:00:00+00:00,2025-08-05 14:00:00+00:00,4,-0.02434229469306622,-0.012193757756061005
294.0,2025-09-02 21:00:00+00:00,2025-09-06 19:00:00+00:00,4,-0.015268303460500784,-0.008146647867347744
34.0,2024-03-18 17:00:00+00:00,2024-03-19 23:00:00+00:00,3,-0.06332996874487866,-0.03430668281376433
151.0,2024-12-11 09:00:00+00:00,2024-12-16 00:00:00+00:00,3,-0.0453929120944527,-0.022663810252297568
141.0,2024-11-12 11:00:00+00:00,2024-11-17 02:00:00+00:00,3,-0.03809607437067449,-0.02420155639905871
255.0,2025-06-14 12:00:00+00:00,2025-06-16 19:00:00+00:00,3,-0.03395394911262299,-0.018856963924064853
1.0,2024-01-01 09:00:00+00:00,2024-01-02 09:00:00+00:00,3,-0.029509568761649375,-0.01399955207271233
337.0,2025-11-20 01:00:00+00:00,2025-11-21 07:00:00+00:00,3,-0.0282431792306684,-0.014598227571787647
314.0,2025-10-05 22:00:00+00:00,2025-10-06 18:00:00+00:00,3,-0.025504709084845797,-0.015980634098079108
35.0,2024-03-26 15:00:00+00:00,2024-03-30 19:00:00+00:00,3,-0.02356162843023309,-0.013316377185126346
94.0,2024-08-02 22:00:00+00:00,2024-08-04 20:00:00+00:00,3,-0.02299400355296511,-0.015811570489591108
133.0,2024-10-03 01:00:00+00:00,2024-10-04 16:00:00+00:00,3,-0.021105078778412473,-0.013240232756094166
332.0,2025-11-15 04:00:00+00:00,2025-11-16 13:00:00+00:00,3,-0.014599872850722326,-0.008839923950559308
317.0,2025-10-14 20:00:00+00:00,2025-10-16 16:00:00+00:00,3,-0.009637733100792774,-0.009025692798271392
240.0,2025-05-05 12:00:00+00:00,2025-05-06 13:00:00+00:00,3,-0.006955825748509815,-0.0046235365447488234
124.0,2024-09-19 18:00:00+00:00,2024-09-21 23:00:00+00:00,3,-0.00656920029913293,-0.004212697159237464
121.0,2024-09-11 07:00:00+00:00,2024-09-15 01:00:00+00:00,3,-0.006525746208271128,-0.0029503162599980493
342.0,2025-11-27 08:00:00+00:00,2025-11-29 08:00:00+00:00,3,-0.00542462575936869,-0.0030164675848419354
175.0,2025-01-30 04:00:00+00:00,2025-01-31 16:00:00+00:00,2,-0.04962917343930297,-0.02992279224608946
258.0,2025-06-21 20:00:00+00:00,2025-06-22 13:00:00+00:00,2,-0.04797712275396081,-0.03710591200000003
189.0,2025-03-02 11:00:00+00:00,2025-03-06 05:00:00+00:00,2,-0.04612192676771823,-0.026621857501714478
75.0,2024-05-23 14:00:00+00:00,2024-05-24 01:00:00+00:00,2,-0.04263981173229315,-0.03476103031061845
92.0,2024-07-25 21:00:00+00:00,2024-07-27 13:00:00+00:00,2,-0.04186642736009164,-0.026896251862168773
320.0,2025-10-21 05:00:00+00:00,2025-10-22 21:00:00+00:00,2,-0.04062293844878355,-0.020532727253172636
188.0,2025-02-27 15:00:00+00:00,2025-02-28 01:00:00+00:00,2,-0.04016719130198823,-0.03274185994661939
63.0,2024-05-01 19:00:00+00:00,2024-05-03 02:00:00+00:00,2,-0.03747005259464274,-0.02381996506729051
329.0,2025-11-09 06:00:00+00:00,2025-11-09 23:00:00+00:00,2,-0.036597144472211296,-0.020210551441598584
284.0,2025-08-18 13:00:00+00:00,2025-08-20 16:00:00+00:00,2,-0.030681435079890518,-0.019148648944914404
343.0,2025-11-30 16:00:00+00:00,2025-12-01 15:00:00+00:00,2,-0.026906011914168096,-0.023755925643524793
249.0,2025-05-28 13:00:00+00:00,2025-06-04 15:00:00+00:00,2,-0.026890246217177158,-0.026792451128020815
16.0,2024-02-12 11:00:00+00:00,2024-02-12 20:00:00+00:00,2,-0.0267806778519758,-0.014692388591490992
6.0,2024-01-06 13:00:00+00:00,2024-01-28 05:00:00+00:00,2,-0.025840612994604654,-0.014316966479812614
21.0,2024-02-26 11:00:00+00:00,2024-02-26 20:00:00+00:00,2,-0.025205819701668446,-0.017030059810394196
122.0,2024-09-15 18:00:00+00:00,2024-09-16 03:00:00+00:00,2,-0.024321634682031315,-0.01765044170123952
32.0,2024-03-17 03:00:00+00:00,2024-03-17 12:00:00+00:00,2,-0.02159447696626564,-0.01864971661339717
307.0,2025-09-25 14:00:00+00:00,2025-09-26 06:00:00+00:00,2,-0.02103853444226255,-0.018840104105281058
134.0,2024-10-05 23:00:00+00:00,2024-10-07 00:00:00+00:00,2,-0.02031288723701291,-0.010632800730865713
20.0,2024-02-23 03:00:00+00:00,2024-02-25 20:00:00+00:00,2,-0.020118322755118784,-0.015703371301434784
350.0,2025-12-17 11:00:00+00:00,2025-12-18 05:00:00+00:00,2,-0.019950921356106866,-0.015341004591167485
233.0,2025-05-01 05:00:00+00:00,2025-05-01 15:00:00+00:00,2,-0.019602563805179635,-0.015360257201175825
346.0,2025-12-05 09:00:00+00:00,2025-12-07 13:00:00+00:00,2,-0.01386643405486036,-0.012187902357745525
49.0,2024-04-15 19:00:00+00:00,2024-04-17 15:00:00+00:00,2,-0.013565432739094278,-0.011794278183538696
187.0,2025-02-21 16:00:00+00:00,2025-02-23 01:00:00+00:00,2,-0.01163849699025311,-0.009795711873001472
355.0,2025-12-23 03:00:00+00:00,2025-12-23 13:00:00+00:00,2,-0.010030596105528682,-0.005662924612771197
261.0,2025-06-28 07:00:00+00:00,2025-06-28 17:00:00+00:00,2,-0.00942543846949988,-0.007839632166605503
108.0,2024-08-30 02:00:00+00:00,2024-08-30 12:00:00+00:00,2,-0.00854614315808019,-0.005199554494829019
117.0,2024-09-05 14:00:00+00:00,2024-09-06 05:00:00+00:00,2,-0.007580348533492268,-0.005384757911159203
167.0,2025-01-10 20:00:00+00:00,2025-01-11 04:00:00+00:00,2,-0.007339844786030111,-0.0048140791569661
206.0,2025-03-25 14:00:00+00:00,2025-03-25 23:00:00+00:00,2,-0.007012111860826551,-0.00403943936185077
45.0,2024-04-06 03:00:00+00:00,2024-04-07 01:00:00+00:00,2,-0.006322781014868203,-0.003260048841074451
360.0,2025-12-29 10:00:00+00:00,2025-12-31 08:00:00+00:00,2,-0.006129286401650272,-0.005483914636994927
8.0,2024-01-31 00:00:00+00:00,2024-01-31 21:00:00+00:00,2,-0.005071234543412328,-0.002640006611225165
28.0,2024-03-12 07:00:00+00:00,2024-03-12 21:00:00+00:00,2,-0.002456083568634828,-0.0018647023117001277
