ema_fast,ema_slow,atr_stop,volume_filter,total_return,annual_return,max_drawdown,sharpe,trades,exposure,avg_bar_return_when_in_position,score
30,60,2.0,0.0,-0.3003234187480305,-0.06898169326912873,-0.5997772260122343,-0.2503972781309264,1010,0.05200346841913107,0.0018078323476970338,-0.37638222461917364
30,60,2.5,0.0,-0.3003234187480305,-0.06898169326912873,-0.5997772260122343,-0.2503972781309264,1010,0.05200346841913107,0.0018078323476970338,-0.37638222461917364
30,60,3.0,0.0,-0.3003234187480305,-0.06898169326912873,-0.5997772260122343,-0.2503972781309264,1010,0.05200346841913107,0.0018078323476970338,-0.37638222461917364
30,60,1.5,0.0,-0.3003234187480305,-0.06898169326912873,-0.5997772260122343,-0.2503972781309264,1010,0.05200346841913107,0.0018078323476970338,-0.37638222461917364
30,48,3.0,0.0,-0.3133784039419085,-0.07248461030211828,-0.6179880527276538,-0.26895131411051365,994,0.05115918218327857,0.0018374849404272616,-0.3895471760892606
30,48,1.5,0.0,-0.3133784039419085,-0.07248461030211828,-0.6179880527276538,-0.26895131411051365,994,0.05115918218327857,0.0018374849404272616,-0.3895471760892606
30,48,2.0,0.0,-0.3133784039419085,-0.07248461030211828,-0.6179880527276538,-0.26895131411051365,994,0.05115918218327857,0.0018374849404272616,-0.3895471760892606
30,48,2.5,0.0,-0.3133784039419085,-0.07248461030211828,-0.6179880527276538,-0.26895131411051365,994,0.05115918218327857,0.0018374849404272616,-0.3895471760892606
20,60,2.5,0.0,-0.3131938041360741,-0.0724347085758471,-0.6249845271202963,-0.2651519324840037,1019,0.05248265790434465,0.001798344563326019,-0.39288153011051535
20,60,2.0,0.0,-0.3131938041360741,-0.0724347085758471,-0.6249845271202963,-0.2651519324840037,1019,0.05248265790434465,0.001798344563326019,-0.39288153011051535
20,60,3.0,0.0,-0.3131938041360741,-0.0724347085758471,-0.6249845271202963,-0.2651519324840037,1019,0.05248265790434465,0.001798344563326019,-0.39288153011051535
20,60,1.5,0.0,-0.3131938041360741,-0.0724347085758471,-0.6249845271202963,-0.2651519324840037,1019,0.05248265790434465,0.001798344563326019,-0.39288153011051535
12,60,2.0,0.0,-0.32865044044704816,-0.07665067506634005,-0.621996605196002,-0.2819004960235454,1054,0.05437659729828404,0.0017421082163433486,-0.3961059925450474
